Cell variables for frog model	SF Trinity at Sandy Bar test file		
SFR 1 Sept 2014	Elevation estimated from depth at 9.7 m3/s	Breeder-suitable from RSL 2/12/2015	Has-shelter added from RSL survey 10/22/2014
CellNum	Elevation (m)	Breeder-suitable?	Has-shelter?
1887	148.0019989	0	0
1888	148.0019989	0	0
1889	148.0019989	0	0
1890	148.0019989	0	0
1891	148.0019989	0	0
1892	148.0019989	0	0
1893	148.0019989	0	0
1894	148.0019989	0	0
1895	148.0019989	0	0
1896	148.0019989	0	0
1897	148.0019989	0	0
1898	148.0019989	0	0
1899	148.0019989	0	0
1900	148.0019989	0	0
1901	148.0019989	0	0
1902	148.0019989	0	0
1903	148.0019989	0	0
1904	148.0019989	0	0
1905	148.0019989	0	0
1906	148.0019989	0	0
1907	148.0019989	0	0
1908	148.0019989	0	0
1909	148.0019989	0	0
1910	148.0019989	0	0
1911	148.0019989	0	0
1912	148.0019989	0	0
1913	148.0019989	0	0
1914	148.0019989	0	0
1915	148.0019989	0	0
1916	148.0019989	0	0
1917	148.0019989	0	0
1918	148.0019989	0	0
1919	148.0019989	0	0
1920	148.0019989	0	0
1921	148.0019989	0	0
1922	148.0019989	0	0
1923	148.0019989	0	0
1924	148.0019989	0	0
1925	148.0019989	0	0
1926	148.0019989	0	0
1927	148.0019989	0	0
1928	148.0019989	0	0
1929	148.0019989	0	0
1930	148.0019989	0	0
1931	148.0019989	0	0
1932	148.0019989	0	0
1933	148.0019989	0	0
1934	148.0019989	0	0
1935	148.0019989	0	0
1936	148.0019989	0	0
1937	148.0019989	0	0
1938	148.0019989	0	0
1939	148.0019989	0	0
1940	148.0019989	0	0
1941	148.0019989	0	0
1942	148.0019989	0	0
2286	148.0019989	0	0
2287	148.0019989	0	0
2288	148.0019989	0	0
2289	148.0019989	0	0
2290	148.0019989	0	0
2291	148.0019989	0	0
2292	148.0019989	0	0
2293	148.0019989	0	0
2294	148.0019989	0	0
2295	148.0019989	0	0
2296	148.0019989	0	0
2297	148.0019989	0	0
2298	148.0019989	0	0
2299	148.0019989	0	0
2300	148.0019989	0	0
2301	148.0019989	0	0
2302	148.0019989	0	0
2303	148.0019989	0	0
2304	148.0019989	0	0
2305	148.0019989	0	0
2306	148.0019989	0	0
2307	148.0019989	0	0
2308	148.0019989	0	0
2309	148.0019989	0	0
2310	148.0019989	0	0
2311	148.0019989	0	0
2312	148.0019989	0	0
2313	148.0019989	0	0
2314	148.0019989	0	0
2315	148.0019989	0	0
2316	148.0019989	0	0
2317	148.0019989	0	0
2318	148.0019989	0	0
2319	148.0019989	0	0
2320	148.0019989	0	0
2321	148.0019989	0	0
2322	148.0019989	0	0
2323	148.0019989	0	0
2324	148.0019989	0	0
2325	148.0019989	0	0
2326	148.0019989	0	0
2327	148.0019989	0	0
2328	148.0019989	0	0
2329	148.0019989	0	0
2330	148.0019989	0	0
2331	148.0019989	0	0
2332	148.0019989	0	0
2333	148.0019989	0	0
2334	148.0019989	0	0
2335	148.0019989	0	0
2336	148.0019989	0	0
2337	148.0019989	0	0
2338	148.0019989	0	0
2339	148.0019989	0	0
2340	148.0019989	0	0
2341	148.0019989	0	0
2342	148.0019989	0	0
2343	148.0019989	0	0
2344	148.0019989	0	0
2345	148.0019989	0	0
2346	148.0019989	0	0
2347	148.0019989	0	0
2348	148.0019989	0	0
2349	148.0019989	0	0
2350	148.0019989	0	0
2351	148.0019989	0	0
2352	148.0019989	0	0
2353	148.0019989	0	0
2354	148.0019989	0	0
2355	148.0019989	0	0
2356	148.0019989	0	0
2357	148.0019989	0	0
2358	148.0019989	0	0
2359	148.0019989	0	0
2360	148.0019989	0	0
2361	148.0019989	0	0
2362	148.0019989	0	0
2363	148.0019989	0	0
2364	148.0019989	0	0
2365	148.0019989	0	0
2366	148.0019989	0	0
2367	148.0019989	0	0
2368	148.0019989	0	0
2369	148.0019989	0	0
2370	148.0019989	0	0
2371	148.0019989	0	0
2372	148.0019989	0	0
2373	148.0019989	0	0
2374	148.0019989	0	0
2375	148.0019989	0	0
2376	148.0019989	0	0
2377	148.0019989	0	0
2378	148.0019989	0	0
2379	148.0019989	0	0
2380	148.0019989	0	0
2712	148.0019989	0	0
2713	148.0019989	0	0
2714	148.0019989	0	0
2715	148.0019989	0	0
2716	148.0019989	0	0
2717	148.0019989	0	0
2718	148.0019989	0	0
2719	148.0019989	0	0
2720	148.0019989	0	0
2721	148.0019989	0	0
2722	148.0019989	0	0
2723	148.0019989	0	0
